id,handle,link_id,content,lat,long,created_at,updated_at
507,Royal_Bum,484706021382705152,Shop with us the entire 4th of July weekend and receive 10% off your online order. #Streetwear #Wavy… http://t.co/wwUaSNQJIY,32.54670471,-92.07865206,2014-07-03 14:32:08.86793,2014-07-03 14:32:08.86793
508,Royal_Bum,484706021382705152,Shop with us the entire 4th of July weekend and receive 10% off your online order. #Streetwear #Wavy… http://t.co/wwUaSNQJIY,32.54670471,-92.07865206,2014-07-03 14:32:09.268515,2014-07-03 14:32:09.268515
509,Royal_Bum,484706021382705152,Shop with us the entire 4th of July weekend and receive 10% off your online order. #Streetwear #Wavy… http://t.co/wwUaSNQJIY,32.54670471,-92.07865206,2014-07-03 14:32:09.610378,2014-07-03 14:32:09.610378
510,Royal_Bum,484706021382705152,Shop with us the entire 4th of July weekend and receive 10% off your online order. #Streetwear #Wavy… http://t.co/wwUaSNQJIY,32.54670471,-92.07865206,2014-07-03 14:32:09.957634,2014-07-03 14:32:09.957634
511,__nickpowell,484706189650165761,4th of July food... 💭😩🍔🍖🍰👋,40.82796651,-81.40333431,2014-07-03 14:32:41.784814,2014-07-03 14:32:41.784814
512,moconnelll,484706321254477827,Whats more American than breaking out my finest selection of illegal Chinese b ball jerseys for 4th of July weekend,40.0830945,-75.3942134,2014-07-03 14:33:05.538191,2014-07-03 14:33:05.538191
513,akamservices,484706288262062081,"Happy July 4th! Time to celebrate with 20 ft of subs from #heroboy. 🇺🇸🗽4⃣⚪️🔴🔵 @ AKAM Living Services,… http://t.co/zIR4U5p8bT",40.76798333,-73.96076167,2014-07-03 14:33:05.541604,2014-07-03 14:33:05.541604
514,__nickpowell,484706189650165761,4th of July food... 💭😩🍔🍖🍰👋,40.82796651,-81.40333431,2014-07-03 14:33:05.543842,2014-07-03 14:33:05.543842
515,moconnelll,484706321254477827,Whats more American than breaking out my finest selection of illegal Chinese b ball jerseys for 4th of July weekend,40.0830945,-75.3942134,2014-07-03 14:33:07.095924,2014-07-03 14:33:07.095924
516,akamservices,484706288262062081,"Happy July 4th! Time to celebrate with 20 ft of subs from #heroboy. 🇺🇸🗽4⃣⚪️🔴🔵 @ AKAM Living Services,… http://t.co/zIR4U5p8bT",40.76798333,-73.96076167,2014-07-03 14:33:07.099506,2014-07-03 14:33:07.099506
517,__nickpowell,484706189650165761,4th of July food... 💭😩🍔🍖🍰👋,40.82796651,-81.40333431,2014-07-03 14:33:07.101904,2014-07-03 14:33:07.101904
518,moconnelll,484706321254477827,Whats more American than breaking out my finest selection of illegal Chinese b ball jerseys for 4th of July weekend,40.0830945,-75.3942134,2014-07-03 14:33:08.668231,2014-07-03 14:33:08.668231
519,akamservices,484706288262062081,"Happy July 4th! Time to celebrate with 20 ft of subs from #heroboy. 🇺🇸🗽4⃣⚪️🔴🔵 @ AKAM Living Services,… http://t.co/zIR4U5p8bT",40.76798333,-73.96076167,2014-07-03 14:33:08.671528,2014-07-03 14:33:08.671528
520,__nickpowell,484706189650165761,4th of July food... 💭😩🍔🍖🍰👋,40.82796651,-81.40333431,2014-07-03 14:33:08.673944,2014-07-03 14:33:08.673944
521,moconnelll,484706321254477827,Whats more American than breaking out my finest selection of illegal Chinese b ball jerseys for 4th of July weekend,40.0830945,-75.3942134,2014-07-03 14:33:10.825564,2014-07-03 14:33:10.825564
522,akamservices,484706288262062081,"Happy July 4th! Time to celebrate with 20 ft of subs from #heroboy. 🇺🇸🗽4⃣⚪️🔴🔵 @ AKAM Living Services,… http://t.co/zIR4U5p8bT",40.76798333,-73.96076167,2014-07-03 14:33:10.829054,2014-07-03 14:33:10.829054
523,__nickpowell,484706189650165761,4th of July food... 💭😩🍔🍖🍰👋,40.82796651,-81.40333431,2014-07-03 14:33:10.831535,2014-07-03 14:33:10.831535
524,gowit_daflo,484706442536951810,“@brownblndefacts: Got them 4th of July nails😏🇺🇸 http://t.co/MVaZeKk1P7” 😂😂,40.11098741,-74.89748628,2014-07-03 14:33:36.855562,2014-07-03 14:33:36.855562
525,TheBoysFarmers,484706407384895489,"We are OPEN July 4th. Come by for delicious platters of fruit, hot homemade meatballs, pasta, seafood &amp; dessert. 🇺🇸 http://t.co/3kmcneVvIO",39.31571419,-74.58355897,2014-07-03 14:33:36.858682,2014-07-03 14:33:36.858682
526,eastcoastfilter,484706376912863232,Have a happy and safe 4th of July weekend from your friends at ECF! http://t.co/41DXaTbu3p,42.01212779,-71.30062488,2014-07-03 14:33:36.861019,2014-07-03 14:33:36.861019
527,jvdabedford,484706352049438720,"“@Benji_USMC: “@_TheLazyOne_: White Dads "" 4th of July"" outfit 😂😂😂😩😩 http://t.co/PhGI2M8n1b”😂😂😂😂😂😂😂😂” oml lmfaooooo",42.67823295,-87.82895147,2014-07-03 14:33:36.863011,2014-07-03 14:33:36.863011
528,moconnelll,484706321254477827,Whats more American than breaking out my finest selection of illegal Chinese b ball jerseys for 4th of July weekend,40.0830945,-75.3942134,2014-07-03 14:33:36.866292,2014-07-03 14:33:36.866292
529,akamservices,484706288262062081,"Happy July 4th! Time to celebrate with 20 ft of subs from #heroboy. 🇺🇸🗽4⃣⚪️🔴🔵 @ AKAM Living Services,… http://t.co/zIR4U5p8bT",40.76798333,-73.96076167,2014-07-03 14:33:36.869397,2014-07-03 14:33:36.869397
530,__nickpowell,484706189650165761,4th of July food... 💭😩🍔🍖🍰👋,40.82796651,-81.40333431,2014-07-03 14:33:36.872424,2014-07-03 14:33:36.872424
531,gowit_daflo,484706442536951810,“@brownblndefacts: Got them 4th of July nails😏🇺🇸 http://t.co/MVaZeKk1P7” 😂😂,40.11098741,-74.89748628,2014-07-03 14:33:38.608137,2014-07-03 14:33:38.608137
532,TheBoysFarmers,484706407384895489,"We are OPEN July 4th. Come by for delicious platters of fruit, hot homemade meatballs, pasta, seafood &amp; dessert. 🇺🇸 http://t.co/3kmcneVvIO",39.31571419,-74.58355897,2014-07-03 14:33:38.61155,2014-07-03 14:33:38.61155
533,eastcoastfilter,484706376912863232,Have a happy and safe 4th of July weekend from your friends at ECF! http://t.co/41DXaTbu3p,42.01212779,-71.30062488,2014-07-03 14:33:38.613956,2014-07-03 14:33:38.613956
534,jvdabedford,484706352049438720,"“@Benji_USMC: “@_TheLazyOne_: White Dads "" 4th of July"" outfit 😂😂😂😩😩 http://t.co/PhGI2M8n1b”😂😂😂😂😂😂😂😂” oml lmfaooooo",42.67823295,-87.82895147,2014-07-03 14:33:38.616039,2014-07-03 14:33:38.616039
535,moconnelll,484706321254477827,Whats more American than breaking out my finest selection of illegal Chinese b ball jerseys for 4th of July weekend,40.0830945,-75.3942134,2014-07-03 14:33:38.618614,2014-07-03 14:33:38.618614
536,akamservices,484706288262062081,"Happy July 4th! Time to celebrate with 20 ft of subs from #heroboy. 🇺🇸🗽4⃣⚪️🔴🔵 @ AKAM Living Services,… http://t.co/zIR4U5p8bT",40.76798333,-73.96076167,2014-07-03 14:33:38.620912,2014-07-03 14:33:38.620912
537,__nickpowell,484706189650165761,4th of July food... 💭😩🍔🍖🍰👋,40.82796651,-81.40333431,2014-07-03 14:33:38.623242,2014-07-03 14:33:38.623242
538,gowit_daflo,484706442536951810,“@brownblndefacts: Got them 4th of July nails😏🇺🇸 http://t.co/MVaZeKk1P7” 😂😂,40.11098741,-74.89748628,2014-07-03 14:33:40.439312,2014-07-03 14:33:40.439312
539,TheBoysFarmers,484706407384895489,"We are OPEN July 4th. Come by for delicious platters of fruit, hot homemade meatballs, pasta, seafood &amp; dessert. 🇺🇸 http://t.co/3kmcneVvIO",39.31571419,-74.58355897,2014-07-03 14:33:40.442781,2014-07-03 14:33:40.442781
540,eastcoastfilter,484706376912863232,Have a happy and safe 4th of July weekend from your friends at ECF! http://t.co/41DXaTbu3p,42.01212779,-71.30062488,2014-07-03 14:33:40.444917,2014-07-03 14:33:40.444917
541,jvdabedford,484706352049438720,"“@Benji_USMC: “@_TheLazyOne_: White Dads "" 4th of July"" outfit 😂😂😂😩😩 http://t.co/PhGI2M8n1b”😂😂😂😂😂😂😂😂” oml lmfaooooo",42.67823295,-87.82895147,2014-07-03 14:33:40.446822,2014-07-03 14:33:40.446822
542,moconnelll,484706321254477827,Whats more American than breaking out my finest selection of illegal Chinese b ball jerseys for 4th of July weekend,40.0830945,-75.3942134,2014-07-03 14:33:40.448818,2014-07-03 14:33:40.448818
543,akamservices,484706288262062081,"Happy July 4th! Time to celebrate with 20 ft of subs from #heroboy. 🇺🇸🗽4⃣⚪️🔴🔵 @ AKAM Living Services,… http://t.co/zIR4U5p8bT",40.76798333,-73.96076167,2014-07-03 14:33:40.451057,2014-07-03 14:33:40.451057
544,__nickpowell,484706189650165761,4th of July food... 💭😩🍔🍖🍰👋,40.82796651,-81.40333431,2014-07-03 14:33:40.453753,2014-07-03 14:33:40.453753
545,gowit_daflo,484706442536951810,“@brownblndefacts: Got them 4th of July nails😏🇺🇸 http://t.co/MVaZeKk1P7” 😂😂,40.11098741,-74.89748628,2014-07-03 14:33:42.227762,2014-07-03 14:33:42.227762
546,TheBoysFarmers,484706407384895489,"We are OPEN July 4th. Come by for delicious platters of fruit, hot homemade meatballs, pasta, seafood &amp; dessert. 🇺🇸 http://t.co/3kmcneVvIO",39.31571419,-74.58355897,2014-07-03 14:33:42.23113,2014-07-03 14:33:42.23113
547,eastcoastfilter,484706376912863232,Have a happy and safe 4th of July weekend from your friends at ECF! http://t.co/41DXaTbu3p,42.01212779,-71.30062488,2014-07-03 14:33:42.233521,2014-07-03 14:33:42.233521
548,jvdabedford,484706352049438720,"“@Benji_USMC: “@_TheLazyOne_: White Dads "" 4th of July"" outfit 😂😂😂😩😩 http://t.co/PhGI2M8n1b”😂😂😂😂😂😂😂😂” oml lmfaooooo",42.67823295,-87.82895147,2014-07-03 14:33:42.235622,2014-07-03 14:33:42.235622
549,moconnelll,484706321254477827,Whats more American than breaking out my finest selection of illegal Chinese b ball jerseys for 4th of July weekend,40.0830945,-75.3942134,2014-07-03 14:33:42.237989,2014-07-03 14:33:42.237989
550,akamservices,484706288262062081,"Happy July 4th! Time to celebrate with 20 ft of subs from #heroboy. 🇺🇸🗽4⃣⚪️🔴🔵 @ AKAM Living Services,… http://t.co/zIR4U5p8bT",40.76798333,-73.96076167,2014-07-03 14:33:42.240725,2014-07-03 14:33:42.240725
551,__nickpowell,484706189650165761,4th of July food... 💭😩🍔🍖🍰👋,40.82796651,-81.40333431,2014-07-03 14:33:42.243013,2014-07-03 14:33:42.243013
552,gowit_daflo,484706442536951810,“@brownblndefacts: Got them 4th of July nails😏🇺🇸 http://t.co/MVaZeKk1P7” 😂😂,40.11098741,-74.89748628,2014-07-03 14:33:49.329126,2014-07-03 14:33:49.329126
553,TheBoysFarmers,484706407384895489,"We are OPEN July 4th. Come by for delicious platters of fruit, hot homemade meatballs, pasta, seafood &amp; dessert. 🇺🇸 http://t.co/3kmcneVvIO",39.31571419,-74.58355897,2014-07-03 14:33:49.332779,2014-07-03 14:33:49.332779
554,eastcoastfilter,484706376912863232,Have a happy and safe 4th of July weekend from your friends at ECF! http://t.co/41DXaTbu3p,42.01212779,-71.30062488,2014-07-03 14:33:49.335216,2014-07-03 14:33:49.335216
555,jvdabedford,484706352049438720,"“@Benji_USMC: “@_TheLazyOne_: White Dads "" 4th of July"" outfit 😂😂😂😩😩 http://t.co/PhGI2M8n1b”😂😂😂😂😂😂😂😂” oml lmfaooooo",42.67823295,-87.82895147,2014-07-03 14:33:49.337269,2014-07-03 14:33:49.337269
556,moconnelll,484706321254477827,Whats more American than breaking out my finest selection of illegal Chinese b ball jerseys for 4th of July weekend,40.0830945,-75.3942134,2014-07-03 14:33:49.339428,2014-07-03 14:33:49.339428
557,akamservices,484706288262062081,"Happy July 4th! Time to celebrate with 20 ft of subs from #heroboy. 🇺🇸🗽4⃣⚪️🔴🔵 @ AKAM Living Services,… http://t.co/zIR4U5p8bT",40.76798333,-73.96076167,2014-07-03 14:33:49.341408,2014-07-03 14:33:49.341408
558,__nickpowell,484706189650165761,4th of July food... 💭😩🍔🍖🍰👋,40.82796651,-81.40333431,2014-07-03 14:33:49.343494,2014-07-03 14:33:49.343494
